timestamp,bid_price_1,bid_size_1,bid_price_2,bid_size_2,bid_price_3,bid_size_3,bid_price_4,bid_size_4,bid_price_5,bid_size_5,bid_price_6,bid_size_6,bid_price_7,bid_size_7,bid_price_8,bid_size_8,bid_price_9,bid_size_9,bid_price_10,bid_size_10,ask_price_1,ask_size_1,ask_price_2,ask_size_2,ask_price_3,ask_size_3,ask_price_4,ask_size_4,ask_price_5,ask_size_5,ask_price_6,ask_size_6,ask_price_7,ask_size_7,ask_price_8,ask_size_8,ask_price_9,ask_size_9,ask_price_10,ask_size_10
1774133985.9349844,453.0000,6,452.9900,3,452.8400,3,452.8100,3,452.4400,1,452.3500,1,452.2300,4,452.0000,4,451.3700,3,451.3600,4,453.8300,4,454.0800,3,454.1600,3,454.1900,4,454.4600,5,454.6400,8,454.7700,5,455.0000,4,0.0000,0,0.0000,0
1774133986.944005,453.0000,6,452.9900,3,452.8400,3,452.8100,3,452.4400,1,452.3500,1,452.2300,4,452.0000,4,451.3700,3,451.3600,4,453.8300,4,454.0800,3,454.1600,3,454.1900,4,454.4600,5,454.6400,8,454.7700,5,455.0000,4,0.0000,0,0.0000,0
1774133987.949149,453.0000,6,452.9900,3,452.8400,3,452.8100,3,452.4400,1,452.3500,1,452.2300,4,452.0000,4,451.3700,3,451.3600,4,453.6000,2,453.8300,5,454.0800,3,454.1600,3,454.1900,4,454.4600,5,454.6400,8,454.7700,5,455.0000,4,0.0000,0
1774133988.9599626,453.0000,6,452.9900,3,452.8400,3,452.8100,3,452.4400,1,452.3500,1,452.2300,4,452.0000,4,451.3700,3,451.3600,4,453.6000,2,453.8300,5,454.0800,3,454.1600,3,454.1900,4,454.4600,5,454.6400,8,454.7700,5,455.0000,4,0.0000,0
1774133989.9624283,452.6000,3,452.4400,1,452.3500,1,452.2300,4,452.0000,4,451.3700,3,451.3600,4,451.3500,3,451.3400,4,451.3300,3,453.6000,6,453.8300,5,454.0800,3,454.1600,3,454.1900,4,454.4600,5,454.6400,8,454.7700,5,455.0000,4,0.0000,0
1774133990.972935,452.6000,3,452.4400,1,452.3500,1,452.2300,4,452.0000,4,451.3700,3,451.3600,4,451.3500,3,451.3400,4,451.3300,3,453.6000,6,453.8300,5,454.0800,3,454.1600,3,454.1900,4,454.4600,5,454.6400,8,454.7700,5,455.0000,4,0.0000,0
1774133991.9741416,452.6000,3,452.4400,1,452.3500,1,452.2300,4,452.0000,4,451.3700,3,451.3600,4,451.3500,3,451.3400,4,451.3300,3,453.6000,6,453.8300,5,454.0800,3,454.1600,3,454.1900,4,454.4600,5,454.6400,8,454.7700,5,455.0000,4,0.0000,0
1774133992.9806464,452.6000,3,452.4400,1,452.3500,1,452.2300,4,452.0000,4,451.3700,3,451.3600,4,451.3500,3,451.3400,4,451.3300,3,453.6000,8,453.8300,5,454.0800,3,454.1600,3,454.1900,4,454.4600,5,454.6400,8,454.7700,5,455.0000,4,0.0000,0
1774133993.9875817,452.6000,3,452.4400,1,452.3500,1,452.2300,4,452.0000,4,451.3700,3,451.3600,4,451.3500,3,451.3400,4,451.3300,3,453.6000,8,453.8300,5,454.0800,3,454.1600,3,454.1900,4,454.4600,5,454.6400,8,454.7700,5,455.0000,4,0.0000,0
1774133994.9942088,452.6000,3,452.4400,1,452.3500,1,452.2300,4,452.0000,4,451.3700,3,451.3600,4,451.3500,3,451.3400,4,451.3300,3,453.6000,8,453.8300,5,454.0800,3,454.1600,3,454.1900,4,454.4600,5,454.6400,8,454.7700,5,455.0000,4,0.0000,0
1774133996.0065346,452.6000,3,452.4400,1,452.3500,1,452.2300,4,452.0000,4,451.3700,3,451.3600,4,451.3500,3,451.3400,4,451.3300,3,453.6000,8,453.8300,5,454.0800,3,454.1600,3,454.1900,4,454.4600,5,454.6400,8,454.7700,5,455.0000,4,0.0000,0
1774133997.0145807,452.6000,3,452.4400,1,452.3500,1,452.2300,4,452.0000,4,451.3700,3,451.3600,4,451.3500,3,451.3400,4,451.3300,3,453.6000,8,453.8300,5,454.0800,3,454.1600,3,454.1900,4,454.4600,5,454.6400,8,454.7700,5,455.0000,4,0.0000,0
1774133998.025326,452.6000,3,452.4400,1,452.3500,1,452.2300,4,452.0000,4,451.3700,3,451.3600,4,451.3500,3,451.3400,4,451.3300,3,453.6000,8,453.8300,5,454.0800,3,454.1600,3,454.1900,4,454.4600,5,454.6400,8,454.7700,5,455.0000,4,0.0000,0
1774133999.0358346,452.6000,3,452.4400,1,452.3500,1,452.2300,4,452.0000,4,451.3700,3,451.3600,4,451.3500,3,451.3400,4,451.3300,3,453.6000,7,453.8300,5,454.0800,3,454.1600,3,454.1900,4,454.4600,5,454.6400,8,454.7700,5,455.0000,4,0.0000,0
1774134000.0440986,452.6000,3,452.4400,1,452.3500,1,452.2300,4,452.0000,4,451.3700,3,451.3600,4,451.3500,3,451.3400,4,451.3300,3,453.6000,7,453.8300,5,454.0800,3,454.1600,3,454.1900,4,454.4600,5,454.6400,8,454.7700,5,455.0000,4,0.0000,0
1774134001.0528035,452.6000,3,452.4400,1,452.3500,1,452.2300,4,452.0000,4,451.3700,3,451.3600,4,451.3500,3,451.3400,4,451.3300,3,453.4300,3,453.6000,7,453.8300,5,454.0800,3,454.1600,3,454.1900,4,454.4600,5,454.6400,8,454.7700,5,455.0000,4
1774134002.0610826,452.6000,3,452.4400,1,452.3500,1,452.2300,4,452.0000,4,451.3700,3,451.3600,4,451.3500,3,451.3400,4,451.3300,3,453.4300,5,453.6000,7,453.8300,5,454.0800,3,454.1600,3,454.1900,4,454.4600,5,454.6400,8,454.7700,5,455.0000,4
1774134003.063029,452.6000,3,452.4400,1,452.3500,1,452.2300,4,452.0000,4,451.3700,3,451.3600,4,451.3500,3,451.3400,4,451.3300,3,453.4300,4,453.6000,7,453.8300,5,454.0800,3,454.1600,3,454.1900,4,454.4600,5,454.6400,8,454.7700,5,455.0000,4
1774134004.0679789,452.6000,3,452.4400,1,452.3500,1,452.2300,4,452.0000,4,451.3700,3,451.3600,4,451.3500,3,451.3400,4,451.3300,3,453.2000,6,453.4300,4,453.6000,7,453.8300,5,454.0800,3,454.1600,3,454.1900,4,454.4600,5,454.6400,8,454.7700,5
1774134005.0784457,452.7700,1,452.6000,3,452.4400,1,452.3500,1,452.2300,4,452.0000,4,451.3700,3,451.3600,4,451.3500,3,451.3400,4,453.2000,5,453.4300,4,453.6000,7,453.8300,5,454.0800,3,454.1600,3,454.1900,4,454.4600,5,454.6400,8,454.7700,5
1774134006.0790746,452.7700,1,452.6000,3,452.4400,1,452.3500,1,452.2300,4,452.0000,4,451.3700,3,451.3600,4,451.3500,3,451.3400,4,453.2000,5,453.4300,4,453.6000,7,453.8300,5,454.0800,3,454.1600,3,454.1900,4,454.4600,5,454.6400,8,454.7700,5
1774134007.0859382,452.7700,1,452.6000,3,452.4400,1,452.3500,1,452.2300,4,452.0000,4,451.3700,3,451.3600,4,451.3500,3,451.3400,4,453.2000,5,453.4300,4,453.6000,7,453.8300,5,454.0800,3,454.1600,3,454.1900,4,454.4600,5,454.6400,8,454.7700,5
1774134008.0949676,452.7700,1,452.6000,3,452.4400,1,452.3500,1,452.2300,4,452.0000,4,451.3700,3,451.3600,4,451.3500,3,451.3400,4,453.2000,5,453.4300,4,453.6000,7,453.8300,5,454.0800,3,454.1600,3,454.1900,4,454.4600,5,454.6400,8,454.7700,5
1774134009.0950277,452.6000,3,452.4400,1,452.3500,1,452.2300,4,452.0000,4,451.3700,3,451.3600,4,451.3500,3,451.3400,4,451.3300,3,453.2000,4,453.4300,4,453.6000,7,453.8300,5,454.0800,3,454.1600,3,454.1900,4,454.4600,5,454.6400,8,454.7700,5
1774134010.103679,452.6000,3,452.4400,1,452.3500,1,452.2300,4,452.0000,4,451.3700,3,451.3600,4,451.3500,3,451.3400,4,451.3300,3,453.4300,3,453.6000,7,453.8300,5,454.0800,3,454.1600,3,454.1900,4,454.4600,5,454.6400,8,454.7700,5,455.0000,4
1774134011.1043842,452.6000,3,452.4400,1,452.3500,1,452.2300,4,452.0000,4,451.3700,3,451.3600,4,451.3500,3,451.3400,4,451.3300,3,453.4300,3,453.6000,7,453.8300,5,454.0800,3,454.1600,3,454.1900,4,454.4600,5,454.6400,8,454.7700,5,455.0000,4
1774134012.104643,452.6000,3,452.4400,1,452.3500,1,452.2300,4,452.0000,4,451.3700,3,451.3600,4,451.3500,3,451.3400,4,451.3300,3,453.4300,3,453.6000,7,453.8300,5,454.0800,3,454.1600,3,454.1900,4,454.4600,5,454.6400,8,454.7700,5,455.0000,4
1774134013.1081648,452.6000,3,452.4400,1,452.3500,1,452.2300,4,452.0000,4,451.3700,3,451.3600,4,451.3500,3,451.3400,4,451.3300,3,453.4300,3,453.6000,7,453.8300,5,454.0800,3,454.1600,3,454.1900,4,454.4600,5,454.6400,8,454.7700,5,455.0000,4
